"spaceid","blockface","metertype","ratetype","raterange","timelimit","latlng"
"TZ63","18300 CLARK ST","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.169718, -118.532375)"
"CB3740","401 LOS ANGELES ST","Single-Space","FLAT","$2.00","2HR","(34.046539, -118.24723)"
"CC776","201 FREMONT AVE","Single-Space","TOD","$1.00 - $2.00","2HR","(34.059804, -118.251195)"
"CB4159","1301 MYRTLE ST","Single-Space","JUMP","$1/H - $4/10H","10HR","(34.033542, -118.255963)"
"CT194","401 COLLEGE ST","Single-Space","TOD","$1.00 - $3.00","2HR","(34.064295, -118.238098)"
"PR48","1100 ROBERTSON BLVD","Single-Space","FLAT","$1.50","2HR","(34.056244, -118.383575)"
"C1132","3300 HOOVER ST","Single-Space","FLAT","$1.50","2HR","(34.024429, -118.283643)"
"CB2047B","301 14TH ST","Single-Space","FLAT","$1.00","2HR","(34.034046, -118.258794)"
"WB708","1801 FIGUEROA ST","Single-Space","FLAT","$1.00","4HR","(34.035293, -118.27158)"
"WA1192","2200 WILSHIRE BLVD","Single-Space","FLAT","$1.50","4HR","(34.059067, -118.277466)"
"MV195","3801 GRAND VIEW BLVD","Single-Space","FLAT","$1.50","1HR","(34.003605, -118.430291)"
"SV507","5801 SUNSET BLVD","Single-Space","FLAT","$1.00","2HR","(34.098157, -118.317002)"
"VN323","6301 VAN NUYS BLVD","Single-Space","FLAT","$1.50","2HR","(34.185094, -118.448862)"
"HO460","1700 VINE ST","Single-Space","TOD","$1.00 - $4.00","2HR","(34.10309, -118.326571)"
"HP140","5901 FIGUEROA ST","Single-Space","FLAT","$1.50","1HR","(34.110859, -118.190463)"
"CT151","900 NORTH BROADWAY","Single-Space","TOD","$1.00 - $4.00","2HR","(34.065927, -118.236304)"
"HO664","1700 CHEROKEE AVE","Single-Space","TOD","$1.00 - $5.00","2HR","(34.102771, -118.334685)"
"WF316","6300 COLGATE AVE","Single-Space","FLAT","$1.50","1HR","(34.069027, -118.361641)"
"SVV322","4201 MELROSE AVE","Single-Space","JUMP","$1.5/H - $6/6H","6HR","(34.083666, -118.293344)"
"TZ465","18800 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.171504, -118.543069)"
"VN937","6350 VAN NUYS BLVD","Single-Space","FLAT","$1.50","2HR","(34.185909, -118.448568)"
"LH181","2601 PASADENA AVE","Single-Space","FLAT","$1.50","1HR","(34.077102, -118.215588)"
"WW1969","3301 WILSHIRE BLVD","Single-Space","FLAT","$1.50","1HR","(34.061868, -118.296912)"
"SVV456","900 HELIOTROPE DR","Single-Space","JUMP","$1.5/H - $6/6H","6HR","(34.088257, -118.29488)"
"WP79A","3101 VIA DOLCE","Single-Space","TOD","$0.50 - $1.50","2HR","(33.980459, -118.463115)"
"SL279","3201 SUNSET BLVD","Single-Space","FLAT","$1.50","2HR","(34.085985, -118.27496)"
"WW550","650 KINGSLEY DR","Single-Space","FLAT","$1.50","2HR","(34.060132, -118.303012)"
"MD495","1601 ZONAL AVE","Single-Space","FLAT","$1.50","4HR","(34.06229, -118.210665)"
"CP125","21800 SHERMAN WAY","Single-Space","FLAT","$1.50","2HR","(34.200919, -118.603518)"
"VH56","1700 VERMONT AVE","Single-Space","FLAT","$1.50","2HR","(34.102872, -118.291677)"
"CB2641B","700 SAN PEDRO ST","Single-Space","TOD","$1.00 - $1.50","4HR","(34.039902, -118.247467)"
"SS183","11601 SANTA MONICA BLVD","Single-Space","FLAT","$1.50","1HR","(34.044441, -118.454783)"
"CB2158","1200 WALL ST","Single-Space","TOD","$1.00 - $3.00","2HR","(34.034378, -118.255764)"
"CB3046","201 4TH ST","Single-Space","TOD","$1.00 - $7.00","2HR","(34.046635, -118.244924)"
"C490A","500 28TH ST","Single-Space","FLAT","$1.50","1HR","(34.02625, -118.276518)"
"BF203","7501 MELROSE AVE","Single-Space","FLAT","$1.50","2HR","(34.083725, -118.353681)"
"SL385","3300 SUNSET BLVD","Single-Space","FLAT","$1.50","2HR","(34.087258, -118.275847)"
"SV488","6000 SUNSET BLVD","Single-Space","FLAT","$1.00","2HR","(34.097933, -118.320753)"
"PB385","5000 PICO BLVD","Single-Space","FLAT","$1.50","2HR","(34.047764, -118.347662)"
"C1026","1300 29TH ST","Single-Space","FLAT","$1.50","1HR","(34.028332, -118.291032)"
"LM786","500 LA BREA AVE","Single-Space","FLAT","$1.50","1HR","(34.081401, -118.343928)"
"MM269","600 HAUSER BLVD","Single-Space","FLAT","$1.50","2HR","(34.063329, -118.351376)"
"VW1454","400 SHATTO PL","Single-Space","FLAT","$1.50","2HR","(34.066762, -118.289859)"
"V224","200 MARKET ST","Single-Space","TOD","$0.50 - $2.00","1HR","(33.988901, -118.471138)"
"TZ400","5501 BECKFORD AVE","Single-Space","FLAT","$1.50","1HR","(34.172327, -118.551277)"
"VS278","1500 KENMORE AVE","Single-Space","FLAT","$1.50","2HR","(34.098602, -118.29716)"
"CB652A","801 WALL ST","Single-Space","TOD","$2.00 - $6.00","2HR","(34.039593, -118.251074)"
"VN953A","14400 VICTORY BLVD","Single-Space","FLAT","$1.50","2HR","(34.186561, -118.447017)"
"HO48","1600 LAS PALMAS AVE","Single-Space","TOD","$1.00 - $3.00","2HR","(34.101041, -118.336072)"
"WV152","900 LEVERING AVE","Single-Space","TOD","$0.50 - $3.00","2HR","(34.063291, -118.448703)"
"WA659","601 CORONADO ST","Single-Space","FLAT","$1.50","1HR","(34.061263, -118.281009)"
"CT416","201 ALPINE ST","Single-Space","TOD","$1.00 - $1.50","2HR","(34.062025, -118.237212)"
"BF393","300 EDINBURGH AVE","Single-Space","FLAT","$1.50","2HR","(34.076413, -118.363644)"
"WS14","1700 WESTWOOD BLVD","Single-Space","FLAT","$1.50","2HR","(34.051285, -118.438135)"
"HO166","1601 CAHUENGA BLVD","Single-Space","TOD","$1.50 - $4.00","2HR","(34.100272, -118.329627)"
"CB3152A","600 WILSHIRE BLVD","Single-Space","TOD","$6.00 - $7.00","2HR","(34.048278, -118.256614)"
"CB1583","1101 MAPLE AVE","Single-Space","TOD","$1.00 - $7.00","2HR","(34.036739, -118.255544)"
"SP582","301 6TH ST","Single-Space","FLAT","$1.50","2HR","(33.738694, -118.285113)"
"CB1189","1200 OLIVE ST","Single-Space","TOD","$1.00 - $2.00","4HR","(34.038831, -118.262659)"
"SW286","5701 MELROSE AVE","Single-Space","FLAT","$1.50","1HR","(34.083565, -118.325287)"
"CB2826","1601 OLIVE ST","Single-Space","FLAT","$1.00","4HR","(34.034761, -118.265864)"
"CB3823","801 SANTEE ST","Single-Space","TOD","$1.00 - $7.00","2HR","(34.040283, -118.253149)"
"VW1611","1201 CATALINA ST","Single-Space","FLAT","$1.50","2HR","(34.047447, -118.294817)"
"TZ552","18300 VENTURA BLVD","Single-Space","FLAT","$1.50","1HR","(34.167537, -118.533237)"
"CB1748","101 12TH ST","Single-Space","FLAT","$1.00","2HR","(34.03716, -118.258597)"
"TZ243A","19301 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.172794, -118.554193)"
"SW117","1101 WESTERN AVE","Single-Space","FLAT","$1.50","1HR","(34.091477, -118.309324)"
"WU1182","1100 8TH ST","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.049632, -118.266292)"
"BF267","7801 MELROSE AVE","Single-Space","FLAT","$1.50","2HR","(34.083875, -118.359881)"
"HO505","6400 YUCCA ST","Single-Space","TOD","$1.00 - $5.00","2HR","(34.10387, -118.329987)"
"VN935","14401 FRIAR ST","Single-Space","FLAT","$1.50","2HR","(34.185732, -118.448441)"
"SV419","6200 FOUNTAIN AVE","Single-Space","FLAT","$1.00","2HR","(34.094271, -118.325848)"
"WS258","1901 WESTWOOD BLVD","Single-Space","FLAT","$1.50","1HR","(34.047307, -118.434819)"
"VW1696","2500 PICO BLVD","Single-Space","FLAT","$1.50","1HR","(34.047173, -118.292667)"
"VS517","1201 VERMONT AVE","Single-Space","FLAT","$1.50","2HR","(34.095237, -118.291873)"
"WN281","100 G ST","Single-Space","FLAT","$1.50","2HR","(33.778412, -118.263258)"
"VN234","14500 GILMORE ST","Single-Space","FLAT","$1.50","2HR","(34.187604, -118.449195)"
"VN873","14400 SYLVAN ST","Single-Space","FLAT","$1.50","2HR","(34.184579, -118.447189)"
"WA1507","1301 TOBERMAN ST","Single-Space","FLAT","$1.50","2HR","(34.04385, -118.276145)"
"UC151","3400 CAHUENGA BLVD","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.132595, -118.354167)"
"VW547A","600 VIRGIL AVE","Single-Space","FLAT","$1.50","2HR","(34.062842, -118.286941)"
"CT368A","701 HILL ST","Single-Space","FLAT","$1.00","4HR","(34.062335, -118.239875)"
"SL91","2200 HYPERION AVE","Single-Space","FLAT","$1.50","4HR","(34.100774, -118.273135)"
"VS442","1301 VERMONT AVE","Single-Space","FLAT","$1.50","1HR","(34.096505, -118.291878)"
"BF762","500 FAIRFAX AVE","Single-Space","FLAT","$1.50","2HR","(34.080955, -118.361355)"
"HP250","6101 FIGUEROA ST","Single-Space","FLAT","$1.50","2HR","(34.11519, -118.184792)"
"CC1614","801 4TH ST","Single-Space","JUMP","$1/H - $4/10H","10HR","(34.053232, -118.254764)"
"CB1801","1100 SANTEE ST","Single-Space","TOD","$1.00 - $6.00","2HR","(34.037549, -118.256232)"
"WF31","101 KILKEA DR","Single-Space","FLAT","$1.50","2HR","(34.072629, -118.366936)"
